"","PlantID","PlantName","OperatorName","OperatorID","State","County","NameplateCapacityMWSum","NetGenerationMWSum","CapacityFactor"
"13195",55393,"Metcalf Energy Center","Calpine Corp - Metcalf Energy Center","2799","CA","Santa Clara",635,2079832,37.3895660302736
"13198",55395,"Crossroads Energy Center","Clarksdale Public Utilities","3702","MS","Coahoma",306.4,64074,2.38720090131979
"13202",55396,"Green Power I","FPL Energy Green Power","49750","CA","Riverside",16.5,16676,11.5372907153729
"13203",55397,"Washington Energy Facility","Dynegy Washington Energy Facility","59922","OH","Washington",714.9,4649717,74.2466935056856
"13206",55400,"Elk Hills Power LLC","Elk Hills Power LLC","34164","CA","Kern",623,3797551,69.5843319627374
"13209",55401,"Rolling Hills Generating","Rolling Hills Generating LLC","56558","OH","Vinton",977.5,790934,9.23675390346728
"13214",55402,"Renaissance Power Plant","DTE Electric Company","5109","MI","Montcalm",782,912804,13.3249833584416
"13218",55404,"Carville Energy LLC","Carville Energy LLC","3131","LA","Iberville",555,3064512,63.0324571146489
"13221",55405,"Athens Generating Plant","New Athens Generating Company LLC","32173","NY","Greene",1221.6,3619820,33.8262492785867
"13227",55406,"Effingham County Power Project","SEPG Operating Services, LLC Effingham","59423","GA","Effingham",596.6,1808046,34.5956998333019
"13230",55409,"Calhoun Energy Center","Calhoun Power Co LLC","34028","AL","Calhoun",748,196584,3.00014650941323
"13234",55411,"Hillabee Energy Center","CER Generation LLC","55987","AL","Tallapoosa",822.8,4376115,60.7142084162998
"13237",55412,"Osprey Energy Center Power Plant","Duke Energy Florida, LLC","6455","FL","Polk",644.2,1982378,35.1286647698678
"13240",55414,"Shady Hills Generating Station","Shady Hills Power Co LLC","40192","FL","Pasco",541.2,681446,14.3737323114203
"13243",55415,"Vandolah Power Station","Vandolah Power Co LLC","39125","FL","Hardee",728,1153714,18.0910043153194
"13247",55417,"Raccoon Creek Energy Center","Union Electric Co - (MO)","19436","IL","Clay",456,8876,0.22220219498518
"13251",55418,"Hot Spring Generating Facility","Entergy Arkansas LLC","814","AR","Hot Spring",714.8,3433630,54.8358834607119
"13254",55419,"Plaquemine Cogeneration Plant","Dow Chemical Co","5347","LA","Iberville",987,4441565,51.370614796001
"13259",55429,"Kentucky Mills","Domtar Paper Company LLC","55839","KY","Hancock",88,345265,44.7884236197592
"13260",55433,"Bayou Cove Peaking Power","NRG South CentralOperationsInc","13908","LA","Acadia",416,105134,2.88499956094134
"13264",55438,"Elgin Energy Center LLC","Elgin Energy Center LLC","61192","IL","Kane",540,233355,4.93309233891426
"13268",55439,"Tenaska Virginia Generating Station","Tenaska Virginia Partners LP","18569","VA","Fluvanna",946.1,5771750,69.6412187692903
"13272",55440,"Tenaska Central Alabama Generating Stn","Tenaska Alabama B LP","18835","AL","Autauga",927.1,4116919,50.6922578335055
"13276",55447,"Columbia Energy Center","City of Columbia - (MO)","4045","MO","Boone",162.8,7817,0.548127517305599
"13280",55451,"Magnolia Power Plant","Tennessee Valley Authority","18642","MS","Benton",1003.5,5554670,63.1883157806126
"13286",55453,"Fountain Valley Power Facility","Fountain Valley Power LLC","6632","CO","El Paso",228,130058,6.51175598814388
"13292",55455,"Red Hawk","Arizona Public Service Co","803","AZ","Maricopa",1140.3,3591886,35.95831346153
"13298",55457,"McClain Energy Facility","Oklahoma Gas & Electric Co","14063","OK","McClain",551.3,3529681,73.0875423552632
"13301",55463,"Redbud Power Plant","Oklahoma Gas & Electric Co","14063","OK","Oklahoma",1433.6,5434734,43.2759085280088
"13309",55464,"Deer Park Energy Center","Deer Park Energy Center","4994","TX","Harris",1176,6891970,66.9008984872488
"13315",55467,"Ouachita","Entergy Louisiana LLC","11241","LA","Ouachita",903.9,4009907,50.6418785971091
"13321",55470,"Green Power 2","South Houston Green Power LLC","17566","TX","Galveston",861,3900260,51.7114006756506
"13326",55477,"Neil Simpson Gas Turbine #2","Black Hills Power, Inc. d/b/a","19545","WY","Campbell",40,11679,3.33304794520548
"13327",55478,"Lange Gas Turbines","Black Hills Power, Inc. d/b/a","19545","SD","Pennington",40,9291,2.65154109589041
"13328",55479,"Wygen 1","Black Hills Power, Inc. d/b/a","19545","WY","Campbell",90,639452,81.1075596144089
"13329",55480,"Forney Energy Center","LaFrontera Holdings LLC","60477","TX","Kaufman",1894.2,10421597,62.8064630361657
"13337",55481,"Mesquite Generating Station Block 2","Mesquite Power LLC","12363","AZ","Maricopa",691.6,3476665,57.3857093999488
"13340",55482,"Goldendale Generating Station","Puget Sound Energy Inc","15500","WA","Klickitat",284.3,1091228,43.8161823400261
"13342",55488,"Blackburn Landfill Co-Generation","Catawba County","3057","NC","Catawba",2.9,15659,61.639899228468
"13345",55496,"Goose Creek Energy Center","Union Electric Co - (MO)","19436","IL","Piatt",684,31465,0.525130844615344
"13351",55499,"CalPeak Power Vaca Dixon Peaker Plant","Calpeak Operating Services, LLC","59527","CA","Solano",60.5,11340,2.1397033850334
"13352",55501,"Kiamichi Energy Facility","Kiowa Power Partners LLC","10362","OK","Pittsburg",1370,5485625,45.7089707695897
"13358",55502,"Lawrenceburg Power, LLC","Lawrenceburg Power, LLC","61137","IN","Dearborn",1232,7129285,66.0588733469727
"13364",55503,"Waterford Power, LLC","Waterford Power, LLC","61136","OH","Washington",921.6,6180696,76.5580408105023
"13368",55504,"Limon Generating Station","Tri-State G & T Assn, Inc","30151","CO","Lincoln",154.2,37685,2.78984477254825
"13370",55505,"Frank Knutson","Tri-State G & T Assn, Inc","30151","CO","Adams",154.2,39650,2.93531498557883
"13372",55508,"CalPeak Power Panoche Peaker Plant","Calpeak Operating Services, LLC","59527","CA","Fresno",60.5,14215,2.68217668591268
"13373",55510,"CalPeak Power Border Peaker Plant","Calpeak Operating Services, LLC","59527","CA","San Diego",60.5,11381,2.14743952601985
"13374",55512,"Cuyamaca Peak Energy Plant","San Diego Gas & Electric Co","16609","CA","San Diego",48.7,14888,3.48982213346085
"13375",55513,"CalPeak Power Enterprise Peaker Plant","Calpeak Operating Services, LLC","59527","CA","San Diego",58.9,12241,2.37245234163624
"13376",55514,"Apex Generating Station","Los Angeles Department of Water & Power","11208","NV","Clark",600.6,2301347,43.7413993920843
"13379",55516,"Fayette Energy Facility","Dynegy Fayette Energy Facility","59923","PA","Fayette",644.1,4721517,83.6804780164741
"13382",55517,"Wallingford Energy","Wallingford Energy LLC","56927","CT","New Haven",350,151654,4.94631441617743
"13389",55518,"High Desert Power Plant","MRP Generation Holdings, LLC","60431","CA","San Bernardino",852,3019302,40.4541288828864
"13393",55522,"Sundance","Arizona Public Service Co","803","AZ","Pinal",605,364133,6.87069323370693
"13403",55524,"York Energy Center","Calpine Mid-Merit LLC","56608","PA","York",560,1838910,37.4859344422701
"13407",55525,"MMSD South Shore Wastewater","Milwaukee Metro Sewerage Dist","12619","WI","Milwaukee",5.1,30083,67.3359298057122
"13412",55534,"Water Filter Plant #2","City of Morganton - (NC)","12944","NC","Burke",1.8,26,0.164890918315576
"13413",55538,"Escondido Energy Center","Wellhead Energy, LLC","20323","CA","San Diego",49.9,25261,5.77890941700753
"13414",55540,"Chula Vista Energy Center","Wellhead Energy, LLC","20323","CA","San Diego",44,3070,0.796492320464923
"13415",55541,"Indigo Energy Facility","Diamond Generating Corporation","49981","CA","Riverside",149.7,33376,2.54512068276584
"13418",55542,"Larkspur Energy Facility","Diamond Generating Corporation","49981","CA","San Diego",99.8,44783,5.12245953093401
"13420",55544,"Klamath Expansion Project","Pacific Klamath Energy Inc","14372","OR","Klamath",117.6,42139,4.09046609511384
"13424",55545,"Hidalgo Energy Center","Calpine Corp - Hidalgo","2934","TX","Hidalgo",551.3,1968953,40.7702383821718
"13427",55554,"Coastal Plains","TX LFG Energy, LP","56772","TX","Galveston",5.1,14588,32.6528785029994
