"","PlantID","PlantName","OperatorName","OperatorID","State","County","NameplateCapacityMWSum","NetGenerationMWSum","CapacityFactor"
"6328",4130,"New Lisbon","City of New Lisbon","13466","WI","Juneau",8.3,21,0.0288826539032844
"6332",4139,"Viola","Village of Viola - (WI)","19867","WI","Richland",1.8,0,0
"6339",4148,"Washington Island","Washington Island El Coop, Inc","20153","WI","Door",5,235,0.536529680365297
"6367",4195,"Powerlane Plant","City of Greenville - (TX)","7634","TX","Hunt",112.2,32019,3.25769784875345
"6379",4251,"Logan City","City of Logan - (UT)","11135","UT","Cache",15.9,1426,1.02380747250223
"6382",4256,"Walnut","Turlock Irrigation District","19281","CA","Stanislaus",49.8,10,0.00229227411930828
"6384",4257,"Easton 2","Easton Utilities Comm","5625","MD","Talbot",38.8,2698,0.793790895824507
"6398",4266,"Spencer","City of Garland - (TX)","6958","TX","Denton",126.5,9377,0.846192719331492
"6429",6006,"Racine","AEP Generation Resources Inc","58620","OH","Meigs",47.4,16605,3.99904629790186
"6439",6013,"Olive","City of Burbank Water and Power","2507","CA","Los Angeles",109.7,0,0
"6506",6046,"DeBary","Duke Energy Florida, LLC","6455","FL","Volusia",748,48978,0.747472712621786
"6518",6049,"West Tisbury Generating Facility","GenOn Canal, LLC","21461","MA","Dukes",5.4,715,1.51150008455945
"6532",6058,"Cascade Creek","Rochester Public Utilities","16181","MN","Olmsted",84.9,34789,4.67767612716545
"6534",6060,"Coachella","Imperial Irrigation District","9216","CA","Riverside",92.4,2790,0.344689557018324
"6538",6063,"Electrifarm","MidAmerican Energy Co","12341","IA","Black Hawk",264.1,5538,0.239375910951124
"6565",6074,"Greenwood (MO)","KCP&L Greater Missouri Operations Co","56211","MO","Jackson",261.8,14661,0.639278127191101
"6576",6081,"Stony Brook","Massachusetts Mun Wholes Electric Co","11806","MA","Hampden",534.6,110102,2.35105152659693
"6599",6087,"Wallace Dam","Georgia Power Co","7140","GA","Hancock",321.2,30122,1.07054311173283
"6605",6088,"North Loop","Tucson Electric Power Co","24211","AZ","Pima",107.8,7898,0.836361942037089
"6615",6092,"Spirit Mound","Basin Electric Power Coop","1307","SD","Clay",135,819,0.0692541856925419
"6654",6120,"Whitehorn","Puget Sound Energy Inc","15500","WA","Whatcom",169.2,28556,1.92660599976251
"6657",6124,"McIntosh","Georgia Power Co","7140","GA","Effingham",988,58476,0.675641949975043
"6666",6125,"Shrewsbury","Town of Shrewsbury - (MA)","17127","MA","Worcester",14,742,0.605022831050228
"6682",6130,"Carters","USCE-Mobile District","27813","GA","Murray",500,160893,3.67335616438356
"6741",6156,"New Haven Harbor","PSEG Power Connecticut LLC","15452","CT","New Haven",641.5,31999,0.569423831843888
"6870",6210,"Northeast (WA)","Avista Corp","20169","WA","Spokane",61.8,1515,0.279846610808175
"6871",6211,"Dynegy Oakland Power Plant","Dynegy Oakland, LLC","54803","CA","Alameda",223.5,3852,0.196745426128528
"6876",6220,"Durant","City of Durant - (IA)","5529","IA","Cedar",4.4,38,0.0985886259858863
"6878",6223,"Empire Energy Center","Empire District Electric Co","5860","MO","Jasper",379,117952,3.55272828038216
"6882",6229,"Mobile","Nebraska Public Power District","13337","NE","York",3.1,123,0.452938577110031
"6888",6238,"Pearl Station","Prairie Power, Inc","40307","IL","Pike",24,248,0.117960426179604
"6900",6253,"Germantown","Wisconsin Electric Power Co","20847","WI","Washington",335.7,39479,1.34248887691908
"6910",6258,"Wilson","Georgia Power Co","7140","GA","Burke",321.2,4093,0.145466202653292
"6924",6281,"Kodiak Microgrid","Kodiak Electric Assn Inc","10433","AK","Kodiak Island",18.3,74,0.0461611398058737
"6929",6283,"Seldovia","Homer Electric Assn Inc","19558","AK","Kenai Peninsula",2.2,85,0.441054379410544
"6935",6286,"Fairbanks","Golden Valley Elec Assn Inc","7353","AK","Fairbanks North Star",42.2,3927,1.06229305979355
"6944",6292,"Bernice Lake","Homer Electric Assn Inc","19558","AK","Kenai Peninsula",76.7,396,0.0589380436141523
"6999",6306,"Valdez","Copper Valley Elec Assn, Inc","4329","AK","Valdez Cordova",5.4,888,1.87721968543886
"7039",6358,"Hutchinson Plant #2","Hutchinson Utilities Comm","9130","MN","McLeod",90.5,23088,2.91228335729963
"7048",6373,"Rokeby","Lincoln Electric System","11018","NE","Lancaster",266.1,36505,1.56604188009108
"7052",6377,"Ocracoke","North Carolina El Member Corp","13683","NC","Hyde",4,122,0.348173515981735
"7064",6390,"Tangier","A & N Electric Coop","84","VA","Accomack",2.4,165,0.784817351598173
"7066",6391,"Smith Island","A & N Electric Coop","84","MD","Somerset",1.7,101,0.678216492076283
"7168",6449,"Azusa","City of Pasadena - (CA)","14534","CA","Los Angeles",3,0,0
"7183",6463,"Ames GT","City of Ames - (IA)","554","IA","Story",78.7,43,0.00623719923645077
"7246",6507,"Drop 2 (WA)","Yakama Power","56621","WA","Yakima",2.5,0,0
"7253",6515,"Valencia","UNS Electric, Inc","19728","AZ","Santa Cruz",108,3042,0.321537290715373
"7264",6518,"Kings Beach","Liberty Utilities (CalPeco Electric) LLC","57222","CA","Placer",15,274,0.208523592085236
"7282",6526,"Rainbow Falls Auscble","New York State Elec & Gas Corp","13511","NY","Clinton",2.6,0,0
"7302",6554,"Waverly Municipal Electric North Plant","Waverly Municipal Elec Utility","20214","IA","Bremer",25.1,308,0.140078953592025
"7337",6565,"Berlin","Town of Berlin - (MD)","1615","MD","Worcester",9,167,0.211821410451547
"7348",6567,"Block Island","Block Island Power Co","1857","RI","Washington",7.1,44,0.0707440992989903
"7352",6579,"Johnson","City of Johnson - (KS)","9776","KS","Stanton",6,85,0.161719939117199
"7358",6584,"Stock Island","Utility Board of Key West City","50079","FL","Monroe",126.5,2141,0.193206634540762
"7365",6586,"Wilkins Station","City of Marblehead - (MA)","11624","MA","Essex",5.4,49,0.103585320480298
"7374",6619,"Burlington (CO)","Tri-State G & T Assn, Inc","30151","CO","Kit Carson",129.4,3674,0.324116223102059
"7384",6635,"A L Pierce","Connecticut Mun Elec Engy Coop","4180","CT","New Haven",84,3520,0.478364861926506
"7397",6643,"Greg Avenue","Metropolitan Water District of S CA","12397","CA","Los Angeles",1,0,0
"7403",6650,"Mexico","Union Electric Co - (MO)","19436","MO","Audrain",60.7,312,0.0586761752160863
"7404",6651,"Moberly","Union Electric Co - (MO)","19436","MO","Randolph",60.6,279,0.0525566255255663
"7405",6652,"Moreau","Union Electric Co - (MO)","19436","MO","Cole",60.8,279,0.052383741888969
"7446",6741,"Rock Lake CT","Great River Energy","7570","MN","Pine",25,245,0.111872146118721
"7455",6776,"West Station (NJ)","City of Vineland - (NJ)","19856","NJ","Cumberland",27,1154,0.487907999323524
"7459",6791,"Augusta Electric Plant No 2","City of Augusta - (KS)","998","KS","Butler",20.7,1901,1.04835329671542
"7469",6824,"St Bonifacius","Great River Energy","7570","MN","Carver",61.2,608,0.113409138388993
"7470",7011,"Hugoton 2","City of Hugoton - (KS)","9011","KS","Stevens",19.2,55,0.0327007229832572
"7478",7013,"East 12th Street","City of Winfield - (KS)","20813","KS","Cowley",28.1,3574,1.45192479565804
"7481",7018,"Chanute 3","City of Chanute","3355","KS","Neosho",34.8,291,0.0954574082821603
"7486",7028,"Whitehead","City of Springville - (UT)","17845","UT","Utah",31,10131,3.73066725585506
"7494",7032,"Gravel Neck","Virginia Electric & Power Co","19876","VA","Surry",407.7,91390,2.55890321359492
"7502",7039,"Lake (WY)","NorthWestern Energy","13902","WY","Teton",2.7,38,0.160662946051074
"7514",7058,"Solon Diesel","Dahlberg Light & Power Co","4715","WI","Douglas",8,0,0
"7522",7060,"Sibley No Two","City of Sibley - (IA)","17141","IA","Osceola",1.1,15,0.155666251556662
"7535",7080,"St George Red Rock","City of St George","17874","UT","Washington",14,599,0.488421395955643
"7576",7138,"Forked River","Forked River Power, LLC","61358","NJ","Ocean",76.8,8651,1.28588161149163
"7578",7145,"Pleasant Hill","MidAmerican Energy Co","12341","IA","Polk",179.8,12872,0.817244934757544
"7581",7146,"Wading River","National Grid Generation LLC","56505","NY","Suffolk",238.5,12886,0.61677340302308
"7597",7155,"Lime Creek","Interstate Power and Light Co","9417","IA","Cerro Gordo",90.2,1845,0.233499377334994
"7599",7158,"Woodsdale","Duke Energy Kentucky Inc","55729","OH","Butler",571.8,116441,2.32465050685091
"7605",7159,"Concord","Wisconsin Electric Power Co","20847","WI","Jefferson",381.6,142667,4.26786876693183
"7649",7203,"South Fond Du Lac","Wisconsin Power & Light Co","20856","WI","Fond Du Lac",381.6,63285,1.89316432612504
"7654",7212,"Darbytown","Virginia Electric & Power Co","19876","VA","Henrico",368.4,85266,2.6421177100531
"7661",7231,"Gianera","City of Santa Clara - (CA)","16655","CA","Santa Clara",64.6,8019,1.41704482802494
"7666",7237,"Angus Anson","Northern States Power Co - Minnesota","13781","SD","Minnehaha",405.7,120297,3.38489875439372
"7686",7247,"Watertown Power Plant","Missouri Basin Muni Power Agny","12710","SD","Codington",67.5,104,0.0175883646203281
"7708",7268,"491 E 48th Street","City of Holland","8723","MI","Allegan",161.7,50703,3.57947662252946
