"","OperatorName","PlantName","PlantState","County","OperatorID","PlantID","GeneratorID","UniqueID","NetGeneration2018","NameplateCapacityMW","Technology","EnergySource1","Status","OperatingMonth","OperatingYear","PlannedRetirementMonth","PlannedRetirementYear","CapacityFactor"
"3011","Granite Ridge Energy LLC","Granite Ridge","NH","Rockingham",88,55170,"CT12","88 55170 CT12",748269,260,"Natural Gas Fired Combined Cycle","NG","OP",3,2003,NA,NA,32.8533983140148
"3012","Calpine Bosque Energy Center LLC","Bosque County Peaking","TX","Bosque",55899,55172,"GT-1","55899 55172 GT-1",893291,154,"Natural Gas Fired Combined Cycle","NG","OP",7,2000,NA,NA,66.2167911996679
"3013","Calpine Bosque Energy Center LLC","Bosque County Peaking","TX","Bosque",55899,55172,"GT-2","55899 55172 GT-2",867409,154,"Natural Gas Fired Combined Cycle","NG","OP",7,2000,NA,NA,64.2982417126253
"3014","Calpine Bosque Energy Center LLC","Bosque County Peaking","TX","Bosque",55899,55172,"GT-3","55899 55172 GT-3",893956,154,"Natural Gas Fired Combined Cycle","NG","OP",6,2001,NA,NA,66.2660855126609
"3015","Calpine Bosque Energy Center LLC","Bosque County Peaking","TX","Bosque",55899,55172,"ST-4","55899 55172 ST-4",505490,95,"Natural Gas Fired Combined Cycle","NG","OP",6,2001,NA,NA,60.7414083153088
"3016","Calpine Bosque Energy Center LLC","Bosque County Peaking","TX","Bosque",55899,55172,"ST-5","55899 55172 ST-5",1024711,250,"Natural Gas Fired Combined Cycle","NG","OP",1,2010,NA,NA,46.7904566210046
"3017","Cleco Power LLC","Acadia Energy Center","LA","Acadia",3265,55173,"CT11","3265 55173 CT11",522483,215.1,"Natural Gas Fired Combined Cycle","NG","OP",7,2002,NA,NA,27.7285811632691
"3018","Cleco Power LLC","Acadia Energy Center","LA","Acadia",3265,55173,"CT12","3265 55173 CT12",507899,215.1,"Natural Gas Fired Combined Cycle","NG","OP",7,2002,NA,NA,26.9545968849574
"3019","Cleco Power LLC","Acadia Energy Center","LA","Acadia",3265,55173,"CT24","3265 55173 CT24",882513,215.1,"Natural Gas Fired Combined Cycle","NG","OP",8,2002,NA,NA,46.8356546493189
"3020","Cleco Power LLC","Acadia Energy Center","LA","Acadia",3265,55173,"CT25","3265 55173 CT25",891164,215.1,"Natural Gas Fired Combined Cycle","NG","OP",8,2002,NA,NA,47.2947699806186
"3021","Cleco Power LLC","Acadia Energy Center","LA","Acadia",3265,55173,"ST13","3265 55173 ST13",619876,264.4,"Natural Gas Fired Combined Cycle","NG","OP",7,2002,NA,NA,26.7632755130942
"3022","Cleco Power LLC","Acadia Energy Center","LA","Acadia",3265,55173,"ST26","3265 55173 ST26",1132547,264.4,"Natural Gas Fired Combined Cycle","NG","OP",8,2002,NA,NA,48.8979528043161
"3023","Eastman Cogeneration LP","Eastman Cogeneration Facility","TX","Harrison",49791,55176,"GEN1","49791 55176 GEN1",782971,170,"Natural Gas Fired Combined Cycle","NG","OP",4,2001,NA,NA,52.5766183185603
"3024","Eastman Cogeneration LP","Eastman Cogeneration Facility","TX","Harrison",49791,55176,"GEN2","49791 55176 GEN2",936635,170,"Natural Gas Fired Combined Cycle","NG","OP",7,2001,NA,NA,62.895178619393
"3025","Eastman Cogeneration LP","Eastman Cogeneration Facility","TX","Harrison",49791,55176,"GEN3","49791 55176 GEN3",474116,127.7,"Natural Gas Fired Combined Cycle","NG","OP",7,2001,NA,NA,42.3827964371404
"3026","South Point Energy Center LLC","South Point Energy Center","AZ","Mohave",50157,55177,"A","50157 55177 A",179598,236,"Natural Gas Fired Combined Cycle","NG","OP",6,2001,NA,NA,8.6873113536104
"3027","South Point Energy Center LLC","South Point Energy Center","AZ","Mohave",50157,55177,"B","50157 55177 B",0,236,"Natural Gas Fired Combined Cycle","NG","OA",6,2001,NA,NA,0
"3028","South Point Energy Center LLC","South Point Energy Center","AZ","Mohave",50157,55177,"ST1","50157 55177 ST1",81553,236,"Natural Gas Fired Combined Cycle","NG","OP",6,2001,NA,NA,3.94478948997756
"3029","Dogwood Power Management, LLC","Dogwood Energy Facility","MO","Cass",54915,55178,"CT-1","54915 55178 CT-1",665680,180,"Natural Gas Fired Combined Cycle","NG","OP",6,2001,NA,NA,42.2171486555048
"3030","Dogwood Power Management, LLC","Dogwood Energy Facility","MO","Cass",54915,55178,"CT-2","54915 55178 CT-2",598929,180,"Natural Gas Fired Combined Cycle","NG","OP",6,2001,NA,NA,37.9838280060883
"3031","Dogwood Power Management, LLC","Dogwood Energy Facility","MO","Cass",54915,55178,"ST-1","54915 55178 ST-1",782536,270,"Natural Gas Fired Combined Cycle","NG","OP",2,2002,NA,NA,33.0854050397429
"3032","Rathdrum Operating Services Co., Inc.","Rathdrum Power LLC","ID","Kootenai",15708,55179,"CTG1","15708 55179 CTG1",1027641,179.4,"Natural Gas Fired Combined Cycle","NG","OP",9,2001,NA,NA,65.3905331317481
"3033","Rathdrum Operating Services Co., Inc.","Rathdrum Power LLC","ID","Kootenai",15708,55179,"STG1","15708 55179 STG1",566176,122.1,"Natural Gas Fired Combined Cycle","NG","OP",9,2001,NA,NA,52.9336310158228
"3034","Sunrise Power Co LLC","Sunrise Power LLC","CA","Kern",18320,55182,"STG","18320 55182 STG",1069397,270,"Natural Gas Fired Combined Cycle","NG","OP",6,2003,NA,NA,45.2138085574159
"3035","Sunrise Power Co LLC","Sunrise Power LLC","CA","Kern",18320,55182,"X718","18320 55182 X718",726184,167.7,"Natural Gas Fired Combined Cycle","NG","OP",6,2001,NA,NA,49.4321508020138
"3036","Sunrise Power Co LLC","Sunrise Power LLC","CA","Kern",18320,55182,"X719","18320 55182 X719",875787,167.7,"Natural Gas Fired Combined Cycle","NG","OP",6,2001,NA,NA,59.6157930420434
"3037","Invenergy Services LLC","Nelson Energy Center","IL","Lee",49893,55183,"CT1","49893 55183 CT1",1754494,181.9,"Natural Gas Fired Combined Cycle","NG","OP",5,2015,NA,NA,110.107038590625
"3038","Invenergy Services LLC","Nelson Energy Center","IL","Lee",49893,55183,"CT2","49893 55183 CT2",1760762,179.4,"Natural Gas Fired Combined Cycle","NG","OP",5,2015,NA,NA,112.040261042643
"3039","Invenergy Services LLC","Nelson Energy Center","IL","Lee",49893,55183,"ST1","49893 55183 ST1",0,133.1,"Natural Gas Fired Combined Cycle","NG","OP",5,2015,NA,NA,0
"3040","Invenergy Services LLC","Nelson Energy Center","IL","Lee",49893,55183,"ST2","49893 55183 ST2",0,133.1,"Natural Gas Fired Combined Cycle","NG","OP",5,2015,NA,NA,0
"3041","EIF Channelview Cogeneration LLC","Channelview Cogeneration Plant","TX","Harris",56380,55187,"GT1","56380 55187 GT1",1125641,192.1,"Natural Gas Fired Combined Cycle","NG","OP",6,2002,NA,NA,66.8911145498325
"3042","EIF Channelview Cogeneration LLC","Channelview Cogeneration Plant","TX","Harris",56380,55187,"GT2","56380 55187 GT2",1156700,192.1,"Natural Gas Fired Combined Cycle","NG","OP",6,2002,NA,NA,68.7367928138645
"3043","EIF Channelview Cogeneration LLC","Channelview Cogeneration Plant","TX","Harris",56380,55187,"GT3","56380 55187 GT3",1097010,192.1,"Natural Gas Fired Combined Cycle","NG","OP",6,2002,NA,NA,65.1897199660565
"3044","EIF Channelview Cogeneration LLC","Channelview Cogeneration Plant","TX","Harris",56380,55187,"GT4","56380 55187 GT4",1156460,192.1,"Natural Gas Fired Combined Cycle","NG","OP",8,2001,NA,NA,68.7225308355855
"3045","EIF Channelview Cogeneration LLC","Channelview Cogeneration Plant","TX","Harris",56380,55187,"ST1","56380 55187 ST1",811581,149.9,"Natural Gas Fired Combined Cycle","NG","OP",6,2002,NA,NA,61.8053588236907
"3046","Cordova Energy Co LLC","Cordova Energy","IL","Rock Island",4210,55188,"PT11","4210 55188 PT11",29173,210,"Natural Gas Fired Combined Cycle","NG","OP",6,2001,NA,NA,1.58583387692977
"3047","Cordova Energy Co LLC","Cordova Energy","IL","Rock Island",4210,55188,"PT21","4210 55188 PT21",22433,210,"Natural Gas Fired Combined Cycle","NG","OP",6,2001,NA,NA,1.21944988040878
"3048","Cordova Energy Co LLC","Cordova Energy","IL","Rock Island",4210,55188,"PT31","4210 55188 PT31",27460,191.2,"Natural Gas Fired Combined Cycle","NG","OP",6,2001,NA,NA,1.63948911942836
"3049","Ontelaunee Energy Center","Ontelaunee Energy Center","PA","Berks",55649,55193,"STG","55649 55193 STG",1476216,228,"Natural Gas Fired Combined Cycle","NG","OP",5,2002,NA,NA,73.9113193943763
"3050","Ontelaunee Energy Center","Ontelaunee Energy Center","PA","Berks",55649,55193,"CTG1","55649 55193 CTG1",1304336,250,"Natural Gas Fired Combined Cycle","NG","OP",5,2002,NA,NA,59.5587214611872
"3051","Ontelaunee Energy Center","Ontelaunee Energy Center","PA","Berks",55649,55193,"CTG2","55649 55193 CTG2",1292995,250,"Natural Gas Fired Combined Cycle","NG","OP",5,2002,NA,NA,59.0408675799087
"3052","Tennessee Valley Authority","Caledonia","MS","Lowndes",18642,55197,"CTG1","18642 55197 CTG1",799005,161,"Natural Gas Fired Combined Cycle","NG","OP",6,2003,NA,NA,56.65255679401
"3053","Tennessee Valley Authority","Caledonia","MS","Lowndes",18642,55197,"CTG2","18642 55197 CTG2",1009678,161,"Natural Gas Fired Combined Cycle","NG","OP",6,2003,NA,NA,71.5900904733543
"3054","Tennessee Valley Authority","Caledonia","MS","Lowndes",18642,55197,"CTG3","18642 55197 CTG3",768424,161,"Natural Gas Fired Combined Cycle","NG","OP",6,2003,NA,NA,54.4842451572648
"3055","Tennessee Valley Authority","Caledonia","MS","Lowndes",18642,55197,"STG1","18642 55197 STG1",467038,106,"Natural Gas Fired Combined Cycle","NG","OP",6,2003,NA,NA,50.2970190402343
"3056","Tennessee Valley Authority","Caledonia","MS","Lowndes",18642,55197,"STG2","18642 55197 STG2",582127,106,"Natural Gas Fired Combined Cycle","NG","OP",6,2003,NA,NA,62.6913715861118
"3057","Tennessee Valley Authority","Caledonia","MS","Lowndes",18642,55197,"STG3","18642 55197 STG3",438073,106,"Natural Gas Fired Combined Cycle","NG","OP",6,2003,NA,NA,47.1776729559748
"3058","SWG Arapahoe, LLC","Arapahoe Combustion Turbine Project","CO","Denver",58517,55200,"UN5","58517 55200 UN5",97736,71.1,"Natural Gas Fired Combined Cycle","NG","OP",5,2000,NA,NA,15.6920923003808
"3059","SWG Arapahoe, LLC","Arapahoe Combustion Turbine Project","CO","Denver",58517,55200,"UN6","58517 55200 UN6",99202,71.1,"Natural Gas Fired Combined Cycle","NG","OP",5,2000,NA,NA,15.9274672626502
"3060","SWG Arapahoe, LLC","Arapahoe Combustion Turbine Project","CO","Denver",58517,55200,"UN7","58517 55200 UN7",53622,51.8,"Natural Gas Fired Combined Cycle","NG","OP",10,2002,NA,NA,11.817051885545
"3061","Corpus Christi Cogeneration LLC","Corpus Christi Energy Center","TX","Nueces",4383,55206,"CT1","4383 55206 CT1",743691,198.9,"Natural Gas Fired Combined Cycle","NG","OP",10,2002,NA,NA,42.6828722356523
"3062","Corpus Christi Cogeneration LLC","Corpus Christi Energy Center","TX","Nueces",4383,55206,"CT2","4383 55206 CT2",948201,198.9,"Natural Gas Fired Combined Cycle","NG","OP",10,2002,NA,NA,54.4203736991811
"3063","Corpus Christi Cogeneration LLC","Corpus Christi Energy Center","TX","Nueces",4383,55206,"ST1","4383 55206 ST1",353823,195.5,"Natural Gas Fired Combined Cycle","NG","OP",10,2002,NA,NA,20.6602319307711
"3064","Public Service Co of NM","Afton Generating Station","NM","Dona Ana",15473,55210,"1","15473 55210 1",815872,177,"Natural Gas Fired Combined Cycle","NG","OP",11,2002,NA,NA,52.619250316023
"3065","Public Service Co of NM","Afton Generating Station","NM","Dona Ana",15473,55210,"2","15473 55210 2",0,110,"Natural Gas Fired Combined Cycle","NG","OP",10,2007,NA,NA,0
"3066","ANP Bellingham Energy Company LLC","ANP Bellingham Energy Project","MA","Norfolk",641,55211,"U1","641 55211 U1",1178960,289,"Natural Gas Fired Combined Cycle","NG","OP",11,2002,NA,NA,46.5690224518494
"3067","ANP Bellingham Energy Company LLC","ANP Bellingham Energy Project","MA","Norfolk",641,55211,"U2","641 55211 U2",1052575,289,"Natural Gas Fired Combined Cycle","NG","OP",12,2002,NA,NA,41.5768039689687
"3068","ANP Blackstone Energy Company LLC","ANP Blackstone Energy Project","MA","Worcester",656,55212,"U1","656 55212 U1",1068881,289,"Natural Gas Fired Combined Cycle","NG","OP",6,2001,NA,NA,42.2208923859632
"3069","ANP Blackstone Energy Company LLC","ANP Blackstone Energy Project","MA","Worcester",656,55212,"U2","656 55212 U2",1083891,289,"Natural Gas Fired Combined Cycle","NG","OP",7,2001,NA,NA,42.8137886903351
"3070","LaFrontera Holdings LLC","Odessa-Ector Power Plant","TX","Ector",60477,55215,"CTG1","60477 55215 CTG1",1128860,176,"Natural Gas Fired Combined Cycle","NG","OP",7,2001,NA,NA,73.2189186384392
"3071","LaFrontera Holdings LLC","Odessa-Ector Power Plant","TX","Ector",60477,55215,"CTG2","60477 55215 CTG2",1076374,176,"Natural Gas Fired Combined Cycle","NG","OP",7,2001,NA,NA,69.8146274387713
"3072","LaFrontera Holdings LLC","Odessa-Ector Power Plant","TX","Ector",60477,55215,"CTG3","60477 55215 CTG3",1141906,176,"Natural Gas Fired Combined Cycle","NG","OP",8,2001,NA,NA,74.0650944375259
"3073","LaFrontera Holdings LLC","Odessa-Ector Power Plant","TX","Ector",60477,55215,"CTG4","60477 55215 CTG4",1127414,176,"Natural Gas Fired Combined Cycle","NG","OP",8,2001,NA,NA,73.1251297218763
"3074","LaFrontera Holdings LLC","Odessa-Ector Power Plant","TX","Ector",60477,55215,"STG1","60477 55215 STG1",1454467,224.4,"Natural Gas Fired Combined Cycle","NG","OP",7,2001,NA,NA,73.9906620597596
"3075","LaFrontera Holdings LLC","Odessa-Ector Power Plant","TX","Ector",60477,55215,"STG2","60477 55215 STG2",1491273,224.4,"Natural Gas Fired Combined Cycle","NG","OP",8,2001,NA,NA,75.8630320123068
"3076","Morris Cogeneration LLC","Morris Cogeneration LLC","IL","Grundy",54755,55216,"STG1","54755 55216 STG1",66346,82.9,"Natural Gas Fired Combined Cycle","NG","OP",6,2000,NA,NA,9.13600035251802
"3077","Morris Cogeneration LLC","Morris Cogeneration LLC","IL","Grundy",54755,55216,"UNT1","54755 55216 UNT1",215123,45.3,"Natural Gas Fired Combined Cycle","NG","OP",11,1998,NA,NA,54.2106403781991
"3078","Morris Cogeneration LLC","Morris Cogeneration LLC","IL","Grundy",54755,55216,"UNT2","54755 55216 UNT2",199892,45.3,"Natural Gas Fired Combined Cycle","NG","OP",11,1998,NA,NA,50.3724535567047
"3079","Morris Cogeneration LLC","Morris Cogeneration LLC","IL","Grundy",54755,55216,"UNT3","54755 55216 UNT3",158518,39,"Natural Gas Fired Combined Cycle","NG","OP",11,1998,NA,NA,46.3991335909144
"3080","Los Medanos Energy Center LLC","Los Medanos Energy Center","CA","Contra Costa",2843,55217,"CTG1","2843 55217 CTG1",970870,198.9,"Natural Gas Fired Combined Cycle","NG","OP",8,2001,NA,NA,55.7214221597783
"3081","Los Medanos Energy Center LLC","Los Medanos Energy Center","CA","Contra Costa",2843,55217,"CTG2","2843 55217 CTG2",1201938,198.9,"Natural Gas Fired Combined Cycle","NG","OP",8,2001,NA,NA,68.9831745834969
"3082","Los Medanos Energy Center LLC","Los Medanos Energy Center","CA","Contra Costa",2843,55217,"STG3","2843 55217 STG3",1101932,280.5,"Natural Gas Fired Combined Cycle","NG","OP",8,2001,NA,NA,44.8453918719833
"3083","Entergy Mississippi LLC","Hinds Energy Facility","MS","Hinds",12685,55218,"H01","12685 55218 H01",1040143,176.6,"Natural Gas Fired Combined Cycle","NG","OP",5,2001,NA,NA,67.2354390646251
"3084","Entergy Mississippi LLC","Hinds Energy Facility","MS","Hinds",12685,55218,"H02","12685 55218 H02",1020500,176.6,"Natural Gas Fired Combined Cycle","NG","OP",5,2001,NA,NA,65.9657042978224
"3085","Entergy Mississippi LLC","Hinds Energy Facility","MS","Hinds",12685,55218,"H03","12685 55218 H03",1094253,198.1,"Natural Gas Fired Combined Cycle","NG","OP",5,2001,NA,NA,63.0563988023207
"3086","Entergy Mississippi LLC","Attala","MS","Attala",12685,55220,"A01","12685 55220 A01",727663,176.6,"Natural Gas Fired Combined Cycle","NG","OP",3,2001,NA,NA,47.0365529509714
"3087","Entergy Mississippi LLC","Attala","MS","Attala",12685,55220,"A02","12685 55220 A02",710388,176.6,"Natural Gas Fired Combined Cycle","NG","OP",3,2001,NA,NA,45.9198870599916
"3088","Entergy Mississippi LLC","Attala","MS","Attala",12685,55220,"A03","12685 55220 A03",766137,198.1,"Natural Gas Fired Combined Cycle","NG","OP",3,2001,NA,NA,44.1486934093062
"3089","Arkansas Electric Coop Corp","Harry L. Oswald","AR","Pulaski",807,55221,"G1","807 55221 G1",53290,51,"Natural Gas Fired Combined Cycle","NG","OP",7,2002,NA,NA,11.9281045751634
"3090","Arkansas Electric Coop Corp","Harry L. Oswald","AR","Pulaski",807,55221,"G2","807 55221 G2",51116,51,"Natural Gas Fired Combined Cycle","NG","OP",7,2002,NA,NA,11.4414898379443
"3091","Arkansas Electric Coop Corp","Harry L. Oswald","AR","Pulaski",807,55221,"G3","807 55221 G3",57703,51,"Natural Gas Fired Combined Cycle","NG","OP",7,2002,NA,NA,12.9158832482765
"3092","Arkansas Electric Coop Corp","Harry L. Oswald","AR","Pulaski",807,55221,"G4","807 55221 G4",49480,51,"Natural Gas Fired Combined Cycle","NG","OP",7,2002,NA,NA,11.0752976989883
"3093","Arkansas Electric Coop Corp","Harry L. Oswald","AR","Pulaski",807,55221,"G5","807 55221 G5",53921,51,"Natural Gas Fired Combined Cycle","NG","OP",7,2002,NA,NA,12.0693437192228
"3094","Arkansas Electric Coop Corp","Harry L. Oswald","AR","Pulaski",807,55221,"G6","807 55221 G6",51096,51,"Natural Gas Fired Combined Cycle","NG","OP",7,2002,NA,NA,11.437013161429
